accuracy: 93.51851851851852 error: 0.023280238683581953 epoch: 8000 parameters: {'hidden_layers': np.int64(1), 'n_units': np.int64(2), 'eta': np.float64(0.5), 'alpha': np.float64(0.6500000000000001), 'lambda': np.float64(0.004)}
accuracy: 93.75 error: 0.025616405683971645 epoch: 8000 parameters: {'hidden_layers': np.int64(1), 'n_units': np.int64(2), 'eta': np.float64(0.5), 'alpha': np.float64(0.6500000000000001), 'lambda': np.float64(0.005)}
accuracy: 93.05555555555556 error: 0.025766761060549873 epoch: 8000 parameters: {'hidden_layers': np.int64(1), 'n_units': np.int64(2), 'eta': np.float64(0.5), 'alpha': np.float64(0.6500000000000001), 'lambda': np.float64(0.006)}
accuracy: 93.05555555555556 error: 0.024990702190919322 epoch: 8000 parameters: {'hidden_layers': np.int64(1), 'n_units': np.int64(2), 'eta': np.float64(0.5), 'alpha': np.float64(0.6500000000000001), 'lambda': np.float64(0.007)}
accuracy: 92.82407407407408 error: 0.02583894588347133 epoch: 8000 parameters: {'hidden_layers': np.int64(1), 'n_units': np.int64(2), 'eta': np.float64(0.5), 'alpha': np.float64(0.6500000000000001), 'lambda': np.float64(0.008)}
accuracy: 93.28703703703704 error: 0.022883366465452977 epoch: 8000 parameters: {'hidden_layers': np.int64(1), 'n_units': np.int64(2), 'eta': np.float64(0.5), 'alpha': np.float64(0.7000000000000002), 'lambda': np.float64(0.001)}
accuracy: 93.05555555555556 error: 0.025717513028113922 epoch: 8000 parameters: {'hidden_layers': np.int64(1), 'n_units': np.int64(2), 'eta': np.float64(0.5), 'alpha': np.float64(0.7000000000000002), 'lambda': np.float64(0.002)}
accuracy: 92.82407407407408 error: 0.026861279185608045 epoch: 8000 parameters: {'hidden_layers': np.int64(1), 'n_units': np.int64(2), 'eta': np.float64(0.5), 'alpha': np.float64(0.7000000000000002), 'lambda': np.float64(0.003)}
accuracy: 93.75 error: 0.022579010313068384 epoch: 8000 parameters: {'hidden_layers': np.int64(1), 'n_units': np.int64(2), 'eta': np.float64(0.5), 'alpha': np.float64(0.7000000000000002), 'lambda': np.float64(0.004)}
accuracy: 93.28703703703704 error: 0.0328974047113728 epoch: 8000 parameters: {'hidden_layers': np.int64(1), 'n_units': np.int64(2), 'eta': np.float64(0.5), 'alpha': np.float64(0.7000000000000002), 'lambda': np.float64(0.005)}
accuracy: 93.75 error: 0.025452272882623445 epoch: 8000 parameters: {'hidden_layers': np.int64(1), 'n_units': np.int64(2), 'eta': np.float64(0.5), 'alpha': np.float64(0.7000000000000002), 'lambda': np.float64(0.006)}
accuracy: 93.05555555555556 error: 0.024798867397119412 epoch: 8000 parameters: {'hidden_layers': np.int64(1), 'n_units': np.int64(2), 'eta': np.float64(0.5), 'alpha': np.float64(0.7000000000000002), 'lambda': np.float64(0.007)}
accuracy: 97.91666666666666 error: 0.01704504134122745 epoch: 8000 parameters: {'hidden_layers': np.int64(1), 'n_units': np.int64(2), 'eta': np.float64(0.5), 'alpha': np.float64(0.7000000000000002), 'lambda': np.float64(0.008)}
accuracy: 96.52777777777779 error: 0.02770202084369563 epoch: 8000 parameters: {'hidden_layers': np.int64(1), 'n_units': np.int64(2), 'eta': np.float64(0.5), 'alpha': np.float64(0.7500000000000002), 'lambda': np.float64(0.001)}
accuracy: 97.91666666666666 error: 0.0168606294683257 epoch: 8000 parameters: {'hidden_layers': np.int64(1), 'n_units': np.int64(2), 'eta': np.float64(0.5), 'alpha': np.float64(0.7500000000000002), 'lambda': np.float64(0.002)}
